Posición	Carácter	Probabilidad
1	m	0.5830
1	q	0.0911
1	r	0.0775
1	a	0.0546
1	t	0.0405
2	a	0.9566
2	r	0.0252
2	e	0.0119
2	o	0.0052
2	i	0.0009
3	j	0.9998
3	 	0.0001
3	'	0.0000
3	,	0.0000
3	t	0.0000
4	o	0.9999
4	e	0.0001
4	a	0.0000
4	 	0.0000
4	r	0.0000
5	 	0.9256
5	.	0.0509
5	s	0.0107
5	r	0.0069
5	,	0.0040
6	s	0.9990
6	c	0.0003
6	g	0.0002
6	e	0.0001
6	z	0.0001
7	i	0.9994
7	a	0.0004
7	 	0.0001
7	t	0.0001
7	e	0.0000
8	n	0.9998
8	d	0.0001
8	e	0.0001
8	a	0.0000
8	l	0.0000
9	 	0.9961
9	t	0.0033
9	o	0.0003
9	v	0.0001
9	s	0.0000
10	t	0.9129
10	e	0.0755
10	i	0.0043
10	p	0.0023
10	q	0.0012
11	r	0.9964
11	a	0.0018
11	e	0.0012
11	i	0.0002
11	o	0.0002
12	a	0.9943
12	e	0.0018
12	t	0.0016
12	.	0.0008
12	 	0.0006
13	b	0.9937
13	j	0.0037
13	 	0.0014
13	l	0.0007
13	.	0.0003
14	a	0.9983
14	i	0.0013
14	l	0.0002
14	o	0.0001
14	e	0.0000
15	j	0.9999
15	 	0.0000
15	r	0.0000
15	.	0.0000
15	l	0.0000
16	o	1.0000
16	a	0.0000
16	e	0.0000
16	 	0.0000
16	i	0.0000
17	,	0.9914
17	 	0.0061
17	s	0.0012
17	r	0.0010
17	.	0.0002
18	 	0.9999
18	.	0.0000
18	t	0.0000
18	e	0.0000
18	d	0.0000
19	é	0.7561
19	n	0.1300
19	t	0.0875
19	d	0.0097
19	q	0.0079
20	x	0.9978
20	c	0.0010
20	'	0.0007
20	 	0.0002
20	j	0.0002
21	i	0.9999
21	c	0.0001
21	a	0.0000
21	u	0.0000
21	 	0.0000
22	t	0.9515
22	n	0.0461
22	o	0.0008
22	d	0.0006
22	 	0.0006
23	o	0.9999
23	a	0.0000
23	e	0.0000
23	r	0.0000
23	i	0.0000
24	 	0.8319
24	s	0.1405
24	,	0.0185
24	.	0.0042
24	n	0.0037
25	s	0.6838
25	e	0.2131
25	t	0.0597
25	n	0.0165
25	d	0.0065
26	s	0.7935
26	 	0.0972
26	n	0.0461
26	r	0.0452
26	.	0.0125
27	i	0.9975
27	t	0.0012
27	a	0.0005
27	e	0.0004
27	.	0.0002
28	t	0.7697
28	n	0.2192
28	d	0.0060
28	o	0.0034
28	 	0.0006
29	o	0.9999
29	a	0.0001
29	e	0.0000
29	r	0.0000
29	u	0.0000
30	 	0.8527
30	s	0.1206
30	,	0.0173
30	.	0.0040
30	í	0.0022
31	e	0.5137
31	s	0.3900
31	t	0.0324
31	n	0.0281
31	h	0.0088
32	u	1.0000
32	a	0.0000
32	i	0.0000
32	 	0.0000
32	o	0.0000
33	i	0.8370
33	e	0.1621
33	a	0.0004
33	r	0.0002
33	s	0.0001
34	n	0.7380
34	t	0.1736
34	e	0.0374
34	o	0.0198
34	d	0.0142
35	o	0.5199
